,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,team,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
540,9.9,0.6,1.9,17.1,0.495,18.3,3.1,2010-11,BOS,Rajon Rondo,0.682926829,0,5,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
541,13.7,0.9,3.9,20.4,0.569,25.5,1.8,2010-11,SAS,Tony Parker,0.743902439,0,3,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156
542,11.6,2.3,4.8,23.7,0.578,21.1,7.1,2010-11,NOH,Chris Paul,0.56097561,0,2,1210,0.002,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
543,18.9,2.4,8.1,30.7,0.605,32,10.9,2011-12,MIA,LeBron James,0.696969697,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
544,19.7,5.2,7.6,26.2,0.61,31.3,7,2011-12,OKC,Kevin Durant,0.712121212,24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
545,14.8,3.6,5,27,0.581,24.3,9.2,2011-12,LAC,Chris Paul,0.606060606,6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
546,23,4.9,7.8,21.9,0.527,35.7,3.3,2011-12,LAL,Kobe Bryant,0.621212121,2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
547,14.8,1,4.7,22,0.539,27.7,2.7,2011-12,SAS,Tony Parker,0.757575758,4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177
548,19.3,5.1,8.4,25.4,0.568,28.8,5.2,2011-12,MIN,Kevin Love,0.393939394,0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223
549,13.4,0.1,10.6,24.2,0.569,26.1,4.3,2011-12,ORL,Dwight Howard,0.560606061,0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179
550,10.8,0.8,3.4,17.5,0.483,20.7,2.2,2011-12,BOS,Rajon Rondo,0.590909091,0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121
551,9,2.3,2.3,20.3,0.625,19.6,3.4,2011-12,PHO,Steve Nash,0.5,0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144
552,17.1,1.1,6.1,26.3,0.559,31.3,7.9,2011-12,MIA,Dwyane Wade,0.696969697,0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227
553,17.8,4.4,6.1,23,0.532,30.5,6.4,2011-12,CHI,Derrick Rose,0.757575758,0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6,0.211
554,16.7,3.4,5.7,21.7,0.564,29.2,3.7,2011-12,DAL,Dirk Nowitzki,0.545454545,0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175
555,19.2,3,6.3,22.9,0.538,32.7,3,2011-12,OKC,Russell Westbrook,0.712121212,0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163
556,12.6,0.1,4.3,22.5,0.531,26.2,3.3,2011-12,SAS,Tim Duncan,0.757575758,0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,5.9,0.174
557,15.5,5.4,3.1,18.4,0.557,24.9,2.1,2011-12,ATL,Joe Johnson,0.606060606,0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145
558,17.8,3.3,7,31.6,0.64,30.2,11.7,2012-13,MIA,LeBron James,0.804878049,120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
559,17.7,4.1,9.3,28.3,0.647,29.8,9.3,2012-13,OKC,Kevin Durant,0.731707317,0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291
560,22.2,6.2,7.6,24.8,0.56,35.6,4.3,2012-13,NYK,Carmelo Anthony,0.658536585,1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
561,12.2,3.3,4.6,26.4,0.594,22.6,8.8,2012-13,LAC,Chris Paul,0.682926829,0,289,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
562,20.4,5.2,8,23,0.57,31.9,4.6,2012-13,LAL,Kobe Bryant,0.548780488,0,184,1210,0.152,78,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174
563,15.1,1,5,23,0.588,27.7,3.6,2012-13,SAS,Tony Parker,0.707317073,0,86,1210,0.071,66,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206
564,14.1,0.1,4.3,24.4,0.554,27.8,5.3,2012-13,SAS,Tim Duncan,0.707317073,0,65,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
565,17.1,6.2,10.2,23,0.6,29,5.6,2012-13,HOU,James Harden,0.548780488,0,33,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206
566,18.7,3.7,7,23.9,0.532,32.8,4.4,2012-13,OKC,Russell Westbrook,0.731707317,0,9,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195
567,15.8,1,6.2,24,0.571,29.5,4.4,2012-13,MIA,Dwyane Wade,0.804878049,0,5,1210,0.004,69,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
568,17.8,7.7,3.7,21.3,0.589,26.4,5.4,2012-13,GSW,Stephen Curry,0.573170732,0,3,1210,0.002,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18
569,12.5,0.2,3,19.2,0.535,24.5,2.6,2012-13,BOS,Kevin Garnett,0.50617284,0,1,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133
570,10.9,0.2,4,19.5,0.559,19.2,5.2,2012-13,MEM,Marc Gasol,0.682926829,0,1,1210,0.001,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197
571,13.3,3.2,4.3,17.9,0.549,22.3,2,2012-13,DEN,Ty Lawson,0.695121951,0,1,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
572,14.7,0.1,4.1,19.2,0.561,23.2,1.8,2012-13,GSW,David Lee,0.573170732,0,1,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15
573,9.5,0.1,3.6,18.1,0.534,17.2,3.4,2012-13,CHI,Joakim Noah,0.548780488,0,1,1210,0.001,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145
574,20.8,6.1,9.9,29.8,0.635,33,10.2,2013-14,OKC,Kevin Durant,0.719512195,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
575,17.6,4,7.6,29.3,0.649,31,8.8,2013-14,MIA,LeBron James,0.658536585,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264
576,17,0.6,8.4,23.9,0.583,29,4.5,2013-14,LAC,Blake Griffin,0.695121951,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205
577,10,0,4.2,20,0.531,18.7,5.3,2013-14,CHI,Joakim Noah,0.585365854,0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19
578,16.5,6.6,9.1,23.5,0.618,27.8,5.6,2013-14,HOU,James Harden,0.658536585,0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221
579,17.7,7.9,4.5,24.1,0.61,28.3,7.4,2013-14,GSW,Stephen Curry,0.62195122,0,66,1250,0.053,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225
580,14,3.4,5.6,25.9,0.58,23.7,8.6,2013-14,LAC,Chris Paul,0.695121951,0,45,1250,0.036,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27
581,18.8,0.2,3.8,22.7,0.532,29.3,2.7,2013-14,CHA,Al Jefferson,0.524390244,0,34,1250,0.027,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
582,17,6.3,5.8,20.1,0.555,28.3,4.9,2013-14,IND,Paul George,0.682926829,0,33,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178
583,20.6,0.2,5.2,21.8,0.507,29.8,2.3,2013-14,POR,LaMarcus Aldridge,0.658536585,0,26,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144
584,18.5,6.6,8.2,26.9,0.591,28.8,8.9,2013-14,MIN,Kevin Love,0.487804878,0,25,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245
585,12.2,0.1,4.3,21.3,0.535,25.2,3.3,2013-14,SAS,Tim Duncan,0.756097561,0,21,1250,0.017,74,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164
586,13.4,1,3.6,18.9,0.555,26.5,0.9,2013-14,SAS,Tony Parker,0.756097561,0,21,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141
587,15.9,4.1,4.7,23.6,0.603,26.9,5,2013-14,DAL,Dirk Nowitzki,0.597560976,0,7,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199
588,21.3,5.4,7,24.4,0.561,32.4,5,2013-14,NYK,Carmelo Anthony,0.451219512,0,4,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172
589,14.4,3.9,5.5,21.4,0.604,24.5,3.9,2013-14,PHO,Goran Dragi,0.585365854,0,3,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
590,14.1,4,3.8,20,0.545,24.6,3.8,2013-14,MEM,Mike Conley,0.609756098,0,1,1250,0.001,73,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,0.161
591,16.8,8.1,4.2,28,0.638,28.9,9.9,2014-15,GSW,Stephen Curry,0.817073171,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288
592,18.1,6.9,10.2,26.7,0.605,31.3,8.8,2014-15,HOU,James Harden,0.682926829,25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265
593,18.5,4.9,7.7,25.9,0.577,32.3,7.1,2014-15,CLE,LeBron James,0.646341463,5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199
594,22,4.3,9.8,29.1,0.536,38.4,8.1,2014-15,OKC,Russell Westbrook,0.548780488,0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222
595,17.6,0.2,6.8,30.8,0.591,27.8,8.9,2014-15,NOP,Anthony Davis,0.548780488,0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274
596,14.3,4.3,3.9,26,0.596,23.7,8,2014-15,LAC,Chris Paul,0.682926829,0,124,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27
597,19.9,1.5,5.1,22.8,0.528,30.2,2.9,2014-15,POR,LaMarcus Aldridge,0.62195122,0,6,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165
598,13.2,0.2,5.4,21.7,0.558,24.6,5.1,2014-15,MEM,Marc Gasol,0.670731707,0,3,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182
599,17.1,0.4,6.4,22.8,0.551,28.4,4,2014-15,LAC,Blake Griffin,0.682926829,0,3,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183
600,10.6,0.1,4,22.6,0.56,22.2,5.1,2014-15,SAS,Tim Duncan,0.670731707,0,1,1300,0.001,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207
601,12.8,3,3.9,22,0.567,23,5.9,2014-15,SAS,Kawhi Leonard,0.670731707,0,1,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204
602,16.9,7.1,3.3,20.8,0.591,27.6,4.4,2014-15,GSW,Klay Thompson,0.817073171,0,1,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172
603,20.2,11.2,5.1,31.5,0.669,32.6,11.9,2015-16,GSW,Stephen Curry,0.890243902,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
604,15.1,4,4.6,26,0.616,25.8,9.1,2015-16,SAS,Kawhi Leonard,0.817073171,0,634,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277
605,18.6,3.7,6.5,27.5,0.588,31.4,9,2015-16,CLE,LeBron James,0.695121951,0,631,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
606,18.1,4.3,7.2,27.6,0.554,31.6,7.8,2015-16,OKC,Russell Westbrook,0.670731707,0,486,1310,0.371,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245
607,19.2,6.7,6.9,28.2,0.634,30.6,9.9,2015-16,OKC,Kevin Durant,0.670731707,0,147,1310,0.112,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27
608,15.1,4.4,4.4,26.2,0.575,27.1,7.9,2015-16,LAC,Chris Paul,0.646341463,0,107,1310,0.082,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253
609,10.1,3.2,4.1,19.3,0.587,18.8,5.5,2015-16,GSW,Draymond Green,0.890243902,0,50,1310,0.038,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
610,19.7,8.1,6.2,22.2,0.56,31.3,4.4,2015-16,POR,Damian Lillard,0.536585366,0,26,1310,0.02,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
611,19.7,8,10.2,25.3,0.598,32.5,6.6,2015-16,HOU,James Harden,0.5,0,9,1310,0.007,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
612,15.6,7.1,6.4,22.2,0.578,26.1,5.8,2015-16,TOR,Kyle Lowry,0.682926829,0,6,1310,0.005,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
613,24,7.2,10.4,30.6,0.554,41.7,11.1,2016-17,OKC,Russell Westbrook,0.573170732,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
614,18.9,9.3,10.9,27.4,0.613,34.2,8.7,2016-17,HOU,James Harden,0.670731707,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245
615,17.7,5.2,7.2,27.6,0.61,31.1,9.4,2016-17,SAS,Kawhi Leonard,0.743902439,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
616,18.2,4.6,7.2,27,0.619,30,7.6,2016-17,CLE,LeBron James,0.62195122,1,333,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
617,19.4,8.5,8.5,26.5,0.625,34,6.7,2016-17,BOS,Isaiah Thomas,0.646341463,0,81,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
618,18.3,10,4.6,24.6,0.624,30.1,6.9,2016-17,GSW,Stephen Curry,0.817073171,0,52,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229
619,15.7,2.3,7.7,26.1,0.599,28.3,7.3,2016-17,MIL,Giannis Antetokounmpo,0.512195122,0,7,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
620,18.4,3.5,6.8,23.2,0.541,30.6,4.7,2016-17,WAS,John Wall,0.597560976,0,7,1010,0.007,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149
621,20.3,1.8,8.6,27.5,0.58,32.6,5.9,2016-17,NOP,Anthony Davis,0.414634146,0,2,1010,0.002,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195
622,16.5,5,6.2,27.6,0.651,27.8,8.9,2016-17,GSW,Kevin Durant,0.817073171,0,2,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278
623,20.9,1.7,8.7,24,0.552,34.3,3,2016-17,TOR,DeMar DeRozan,0.62195122,0,1,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166
624,20.1,10,10.1,29.8,0.619,36.1,9.9,2017-18,HOU,James Harden,0.792682927,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
625,19.3,5,6.5,28.6,0.621,31.6,8.7,2017-18,CLE,LeBron James,0.609756098,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221
626,19.5,2.2,8,28.9,0.612,30,6.7,2017-18,NOP,Anthony Davis,0.585365854,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
627,19.4,8.6,7.4,25.2,0.594,30.6,7.2,2017-18,POR,Damian Lillard,0.597560976,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
628,21.1,4.1,7.1,24.7,0.524,34.1,6.3,2017-18,OKC,Russell Westbrook,0.585365854,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
629,18.7,1.9,8.5,27.3,0.598,31.2,6.2,2017-18,MIL,Giannis Antetokounmpo,0.536585366,0,75,1010,0.074,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
630,18,6.1,5.9,26,0.64,30.4,7.3,2017-18,GSW,Kevin Durant,0.707317073,0,66,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
631,17.7,3.6,7,21,0.555,29.6,2.8,2017-18,TOR,DeMar DeRozan,0.719512195,0,32,1010,0.032,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
632,18,1.2,5.3,25,0.57,29.1,3.9,2017-18,SAS,LaMarcus Aldridge,0.573170732,0,6,1010,0.006,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209
633,15.6,3.4,7.2,23.7,0.59,24.9,5.8,2017-18,MIN,Jimmy Butler,0.573170732,0,5,1010,0.005,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198
634,16.9,9.8,5.9,28.2,0.675,31,7.7,2017-18,GSW,Stephen Curry,0.707317073,0,5,1010,0.005,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
635,16.8,3.4,7.4,22.9,0.573,33.4,3.3,2017-18,PHI,Joel Embiid,0.634146341,0,4,1010,0.004,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
636,17.9,5.8,4.9,23.1,0.577,30.1,5.8,2017-18,IND,Victor Oladipo,0.585365854,0,2,1010,0.002,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
637,17.3,2.8,9.5,30.9,0.644,32.3,10.4,2018-19,MIL,Giannis Antetokounmpo,0.731707317,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
638,24.5,13.2,11,30.6,0.616,40.5,11,2018-19,HOU,James Harden,0.646341463,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254
639,21,9.8,7,23.3,0.583,29.5,7.2,2018-19,OKC,Paul George,0.597560976,0,356,1010,0.352,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
640,15.1,3.4,4.4,26.3,0.589,27.4,9.1,2018-19,DEN,Nikola Joki,0.658536585,0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
641,19.4,11.7,4.2,24.4,0.641,30.4,6.6,2018-19,GSW,Stephen Curry,0.695121951,0,175,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199
642,19.2,8,6.4,23.7,0.588,29.3,6.4,2018-19,POR,Damian Lillard,0.646341463,0,69,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
643,18.7,4.1,10.1,26.1,0.593,33.3,4.9,2018-19,PHI,Joel Embiid,0.62195122,0,49,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194
644,17.7,5,6.5,24.2,0.631,29,5.5,2018-19,GSW,Kevin Durant,0.695121951,0,25,1010,0.025,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
645,18.8,5,7.1,25.8,0.606,30.3,7.2,2018-19,TOR,Kawhi Leonard,0.707317073,0,13,1010,0.013,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
646,20.2,5.6,6.2,21.1,0.501,30.9,5.2,2018-19,OKC,Russell Westbrook,0.597560976,0,8,1010,0.008,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
647,8.8,0,6.4,24.6,0.682,17.8,5.4,2018-19,UTA,Rudy Gobert,0.609756098,0,1,1010,0.001,81,31.8,15.9,12.9,2,0.8,2.3,0.669,0,0.636,14.4,0.268
648,19.9,5.9,7.6,25.6,0.588,31.6,8,2018-19,LAL,LeBron James,0.451219512,0,1,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179